Body Regions;A01
Vasa Vasorum;A07.015.836
Veins;A07.015.908
Axillary Vein;A07.015.908.077
Azygos Vein;A07.015.908.106
Brachiocephalic Veins;A07.015.908.130
Cerebral Veins;A07.015.908.155
Coronary Vessels;A07.015.908.194
Coronary Sinus;A07.015.908.194.500
Cranial Sinuses;A07.015.908.224
Cavernous Sinus;A07.015.908.224.334
Superior Sagittal Sinus;A07.015.908.224.667
Transverse Sinuses;A07.015.908.224.833
Femoral Vein;A07.015.908.314
Hepatic Veins;A07.015.908.380
Iliac Vein;A07.015.908.427
Jugular Veins;A07.015.908.498
Popliteal Vein;A07.015.908.641
Portal System;A07.015.908.670
Mesenteric Veins;A07.015.908.670.385
Portal Vein;A07.015.908.670.567
Splenic Vein;A07.015.908.670.730
Umbilical Veins;A07.015.908.670.874
Pulmonary Veins;A07.015.908.713
Renal Veins;A07.015.908.752
Retinal Vein;A07.015.908.783
Saphenous Vein;A07.015.908.819
Subclavian Vein;A07.015.908.877
Venae Cavae;A07.015.908.949
Vena Cava, Inferior;A07.015.908.949.648
Vena Cava, Superior;A07.015.908.949.815
Venous Valves;A07.015.908.950
Venules;A07.015.908.952
Blood-Air Barrier;A07.020
Blood-Aqueous Barrier;A07.030
Blood-Brain Barrier;A07.035
Blood-Nerve Barrier;A07.037
Blood-Retinal Barrier;A07.040
Blood-Testis Barrier;A07.045
Glomerular Filtration Barrier;A07.500
Glymphatic System;A07.521
Heart;A07.541
Endocardium;A07.541.207
Fetal Heart;A07.541.278
Ductus Arteriosus;A07.541.278.395
Truncus Arteriosus;A07.541.278.930
Heart Atria;A07.541.358
Atrial Appendage;A07.541.358.100
Heart Conduction System;A07.541.409
Atrioventricular Node;A07.541.409.147
Bundle of His;A07.541.409.273
Purkinje Fibers;A07.541.409.683
Sinoatrial Node;A07.541.409.819
Heart Septum;A07.541.459
Atrial Septum;A07.541.459.249
Endocardial Cushions;A07.541.459.374
Foramen Ovale;A07.541.459.500
Ventricular Septum;A07.541.459.750
Heart Valves;A07.541.510
Aortic Valve;A07.541.510.110
Chordae Tendineae;A07.541.510.240
Mitral Valve;A07.541.510.507
Papillary Muscles;A07.541.510.619
Pulmonary Valve;A07.541.510.738
Tricuspid Valve;A07.541.510.893
Heart Ventricles;A07.541.560
Myocardium;A07.541.704
Myoblasts, Cardiac;A07.541.704.500
Myocytes, Cardiac;A07.541.704.570
Papillary Muscles;A07.541.704.750
Pericardium;A07.541.795
Pericardial Fluid;A07.541.795.500
Nervous System;A08
Central Nervous System;A08.186
Brain;A08.186.211
Blood-Brain Barrier;A08.186.211.035
Brain Stem;A08.186.211.132
Mesencephalon;A08.186.211.132.659
Cerebral Peduncle;A08.186.211.132.659.413
Cerebral Crus;A08.186.211.132.659.413.437
Substantia Nigra;A08.186.211.132.659.413.656
Pars Compacta;A08.186.211.132.659.413.656.249
Pars Reticulata;A08.186.211.132.659.413.656.500
Tegmentum Mesencephali;A08.186.211.132.659.413.875
Cerebral Aqueduct;A08.186.211.132.659.413.875.187
Midbrain Reticular Formation;A08.186.211.132.659.413.875.284
Pedunculopontine Tegmental Nucleus;A08.186.211.132.659.413.875.284.500
Oculomotor Nuclear Complex;A08.186.211.132.659.413.875.381
Edinger-Westphal Nucleus;A08.186.211.132.659.413.875.381.500
Periaqueductal Gray;A08.186.211.132.659.413.875.595
Raphe Nuclei;A08.186.211.132.659.413.875.618
Dorsal Raphe Nucleus;A08.186.211.132.659.413.875.618.249
Interpeduncular Nucleus;A08.186.211.132.659.413.875.618.436
Midbrain Raphe Nuclei;A08.186.211.132.659.413.875.618.624
Red Nucleus;A08.186.211.132.659.413.875.642
Ventral Tegmental Area;A08.186.211.132.659.413.875.820
Locus Coeruleus;A08.186.211.132.659.473
Tectum Mesencephali;A08.186.211.132.659.800
Inferior Colliculi;A08.186.211.132.659.800.407
Posterior Cerebellar Commissure;A08.186.211.132.659.800.611
Pretectal Region;A08.186.211.132.659.800.662
Subcommissural Organ;A08.186.211.132.659.800.713
Superior Colliculi;A08.186.211.132.659.800.816
Reticular Formation;A08.186.211.132.772
Midbrain Reticular Formation;A08.186.211.132.772.322
Pedunculopontine Tegmental Nucleus;A08.186.211.132.772.322.500
Respiratory Center;A08.186.211.132.772.646
Rhombencephalon;A08.186.211.132.810
Metencephalon;A08.186.211.132.810.428
Cerebellum;A08.186.211.132.810.428.200
Cerebellar Cortex;A08.186.211.132.810.428.200.212
Cerebellar Golgi Cells;A08.186.211.132.810.428.200.212.150
Cerebellar Vermis;A08.186.211.132.810.428.200.212.299
Purkinje Cells;A08.186.211.132.810.428.200.212.600
Cerebellar Nuclei;A08.186.211.132.810.428.200.337
Cerebellopontine Angle;A08.186.211.132.810.428.200.462
Pons;A08.186.211.132.810.428.600
Barrington's Nucleus;A08.186.211.132.810.428.600.067
Cochlear Nucleus;A08.186.211.132.810.428.600.135
Kolliker-Fuse Nucleus;A08.186.211.132.810.428.600.392
Middle Cerebellar Peduncle;A08.186.211.132.810.428.600.521
Pontine Tegmentum;A08.186.211.132.810.428.600.650
Abducens Nucleus;A08.186.211.132.810.428.600.650.249
Facial Nucleus;A08.186.211.132.810.428.600.650.374
Locus Coeruleus;A08.186.211.132.810.428.600.650.437
Parabrachial Nucleus;A08.186.211.132.810.428.600.650.500
Raphe Nuclei;A08.186.211.132.810.428.600.650.562
Nucleus Raphe Magnus;A08.186.211.132.810.428.600.650.562.500
Superior Olivary Complex;A08.186.211.132.810.428.600.650.625
Trapezoid Body;A08.186.211.132.810.428.600.650.687
Trigeminal Motor Nucleus;A08.186.211.132.810.428.600.650.718
Trigeminal Nucleus, Spinal;A08.186.211.132.810.428.600.650.750
Vestibular Nuclei;A08.186.211.132.810.428.600.800
Vestibular Nucleus, Lateral;A08.186.211.132.810.428.600.800.800
Myelencephalon;A08.186.211.132.810.591
Medulla Oblongata;A08.186.211.132.810.591.500
Area Postrema;A08.186.211.132.810.591.500.286
Olivary Nucleus;A08.186.211.132.810.591.500.574
Raphe Nuclei;A08.186.211.132.810.591.500.662
Nucleus Raphe Obscurus;A08.186.211.132.810.591.500.662.436
Nucleus Raphe Pallidus;A08.186.211.132.810.591.500.662.624
Solitary Nucleus;A08.186.211.132.810.591.500.750
Trigeminal Nucleus, Spinal;A08.186.211.132.810.591.500.875
Trigeminal Caudal Nucleus;A08.186.211.132.810.591.500.875.500
Tectospinal Fibers;A08.186.211.132.810.753
Trigeminal Nuclei;A08.186.211.132.931
Trigeminal Motor Nucleus;A08.186.211.132.931.459
Trigeminal Nucleus, Spinal;A08.186.211.132.931.920
Trigeminal Caudal Nucleus;A08.186.211.132.931.920.927
Cerebral Ventricles;A08.186.211.140
Cerebral Aqueduct;A08.186.211.140.187
Choroid Plexus;A08.186.211.140.298
Ependyma;A08.186.211.140.460
Fourth Ventricle;A08.186.211.140.500
Lateral Ventricles;A08.186.211.140.650
Septum Pellucidum;A08.186.211.140.814
Third Ventricle;A08.186.211.140.840
Glymphatic System;A08.186.211.150
Gray Matter;A08.186.211.168
Limbic System;A08.186.211.180
Amygdala;A08.186.211.180.090
Basolateral Nuclear Complex;A08.186.211.180.090.500
Central Amygdaloid Nucleus;A08.186.211.180.090.750
Corticomedial Nuclear Complex;A08.186.211.180.090.875
Periamygdaloid Cortex;A08.186.211.180.090.875.500
Epithalamus;A08.186.211.180.200
Habenula;A08.186.211.180.200.360
Pineal Gland;A08.186.211.180.200.680
Hippocampus;A08.186.211.180.405
CA1 Region, Hippocampal;A08.186.211.180.405.099
CA2 Region, Hippocampal;A08.186.211.180.405.149
CA3 Region, Hippocampal;A08.186.211.180.405.174
Dentate Gyrus;A08.186.211.180.405.200
Mossy Fibers, Hippocampal;A08.186.211.180.405.200.500
Fornix, Brain;A08.186.211.180.405.600
Hypothalamus;A08.186.211.180.497
Hypothalamic Area, Lateral;A08.186.211.180.497.300
Hypothalamus, Anterior;A08.186.211.180.497.342
Anterior Hypothalamic Nucleus;A08.186.211.180.497.342.063
Organum Vasculosum;A08.186.211.180.497.342.231
Paraventricular Hypothalamic Nucleus;A08.186.211.180.497.342.400
Preoptic Area;A08.186.211.180.497.342.450
Suprachiasmatic Nucleus;A08.186.211.180.497.342.625
Suprachiasmatic Nucleus Neurons;A08.186.211.180.497.342.625.500
Supraoptic Nucleus;A08.186.211.180.497.342.650
Hypothalamus, Middle;A08.186.211.180.497.352
Arcuate Nucleus of Hypothalamus;A08.186.211.180.497.352.081
Dorsomedial Hypothalamic Nucleus;A08.186.211.180.497.352.270
Hypothalamo-Hypophyseal System;A08.186.211.180.497.352.435
Median Eminence;A08.186.211.180.497.352.435.249
Pituitary Gland;A08.186.211.180.497.352.435.500
Pituitary Gland, Anterior;A08.186.211.180.497.352.435.500.500
Corticotrophs;A08.186.211.180.497.352.435.500.500.500
Gonadotrophs;A08.186.211.180.497.352.435.500.500.750
Lactotrophs;A08.186.211.180.497.352.435.500.500.812
Somatotrophs;A08.186.211.180.497.352.435.500.500.937
Thyrotrophs;A08.186.211.180.497.352.435.500.500.968
Pituitary Gland, Intermediate;A08.186.211.180.497.352.435.500.750
Melanotrophs;A08.186.211.180.497.352.435.500.750.500
Pituitary Gland, Posterior;A08.186.211.180.497.352.435.500.875
Tuber Cinereum;A08.186.211.180.497.352.870
Ventromedial Hypothalamic Nucleus;A08.186.211.180.497.352.953
Hypothalamus, Posterior;A08.186.211.180.497.362
Mammillary Bodies;A08.186.211.180.497.362.500
Limbic Lobe;A08.186.211.180.590
Gyrus Cinguli;A08.186.211.180.590.500
Parahippocampal Gyrus;A08.186.211.180.590.750
Entorhinal Cortex;A08.186.211.180.590.750.225
Periamygdaloid Cortex;A08.186.211.180.590.750.612
Olfactory Pathways;A08.186.211.180.699
Parahippocampal Gyrus;A08.186.211.180.710
Entorhinal Cortex;A08.186.211.180.710.225
Periamygdaloid Cortex;A08.186.211.180.710.612
Perforant Pathway;A08.186.211.180.730
Septum of Brain;A08.186.211.180.750
Septal Nuclei;A08.186.211.180.750.800
Septum Pellucidum;A08.186.211.180.750.900
Substantia Innominata;A08.186.211.180.820
Prosencephalon;A08.186.211.200
Diencephalon;A08.186.211.200.317
Epithalamus;A08.186.211.200.317.200
Habenula;A08.186.211.200.317.200.360
Pineal Gland;A08.186.211.200.317.200.620
Hypothalamus;A08.186.211.200.317.357
Hypothalamic Area, Lateral;A08.186.211.200.317.357.300
Hypothalamus, Anterior;A08.186.211.200.317.357.342
Anterior Hypothalamic Nucleus;A08.186.211.200.317.357.342.063
Organum Vasculosum;A08.186.211.200.317.357.342.315
Paraventricular Hypothalamic Nucleus;A08.186.211.200.317.357.342.400
Preoptic Area;A08.186.211.200.317.357.342.450
Suprachiasmatic Nucleus;A08.186.211.200.317.357.342.625
Suprachiasmatic Nucleus Neurons;A08.186.211.200.317.357.342.625.500
Supraoptic Nucleus;A08.186.211.200.317.357.342.650
Hypothalamus, Middle;A08.186.211.200.317.357.352
Arcuate Nucleus of Hypothalamus;A08.186.211.200.317.357.352.081
Dorsomedial Hypothalamic Nucleus;A08.186.211.200.317.357.352.270
Hypothalamo-Hypophyseal System;A08.186.211.200.317.357.352.435
Median Eminence;A08.186.211.200.317.357.352.435.249
Pituitary Gland;A08.186.211.200.317.357.352.435.500
Pituitary Gland, Anterior;A08.186.211.200.317.357.352.435.500.500
Corticotrophs;A08.186.211.200.317.357.352.435.500.500.500
Gonadotrophs;A08.186.211.200.317.357.352.435.500.500.750
Lactotrophs;A08.186.211.200.317.357.352.435.500.500.812
Somatotrophs;A08.186.211.200.317.357.352.435.500.500.937
Thyrotrophs;A08.186.211.200.317.357.352.435.500.500.968
Pituitary Gland, Intermediate;A08.186.211.200.317.357.352.435.500.750
Melanotrophs;A08.186.211.200.317.357.352.435.500.750.500
Pituitary Gland, Posterior;A08.186.211.200.317.357.352.435.500.875
Tuber Cinereum;A08.186.211.200.317.357.352.870
Ventromedial Hypothalamic Nucleus;A08.186.211.200.317.357.352.953
Hypothalamus, Posterior;A08.186.211.200.317.357.362
Mammillary Bodies;A08.186.211.200.317.357.362.500
Optic Chiasm;A08.186.211.200.317.578
Optic Tract;A08.186.211.200.317.689
Subthalamus;A08.186.211.200.317.800
Entopeduncular Nucleus;A08.186.211.200.317.800.240
Subthalamic Nucleus;A08.186.211.200.317.800.800
Zona Incerta;A08.186.211.200.317.800.900
Thalamus;A08.186.211.200.317.826
Thalamic Nuclei;A08.186.211.200.317.826.701
Anterior Thalamic Nuclei;A08.186.211.200.317.826.701.080
Geniculate Bodies;A08.186.211.200.317.826.701.444
Intralaminar Thalamic Nuclei;A08.186.211.200.317.826.701.460
Lateral Thalamic Nuclei;A08.186.211.200.317.826.701.485
Pulvinar;A08.186.211.200.317.826.701.485.600
Mediodorsal Thalamic Nucleus;A08.186.211.200.317.826.701.490
Midline Thalamic Nuclei;A08.186.211.200.317.826.701.500
Posterior Thalamic Nuclei;A08.186.211.200.317.826.701.700
Ventral Thalamic Nuclei;A08.186.211.200.317.826.701.900
Telencephalon;A08.186.211.200.885
Cerebrum;A08.186.211.200.885.287
Basal Ganglia;A08.186.211.200.885.287.249
Amygdala;A08.186.211.200.885.287.249.152
Basolateral Nuclear Complex;A08.186.211.200.885.287.249.152.500
Central Amygdaloid Nucleus;A08.186.211.200.885.287.249.152.750
Corticomedial Nuclear Complex;A08.186.211.200.885.287.249.152.875
Periamygdaloid Cortex;A08.186.211.200.885.287.249.152.875.500
Claustrum;A08.186.211.200.885.287.249.320
Corpus Striatum;A08.186.211.200.885.287.249.487
Globus Pallidus;A08.186.211.200.885.287.249.487.397
Neostriatum;A08.186.211.200.885.287.249.487.550
Caudate Nucleus;A08.186.211.200.885.287.249.487.550.184
High Vocal Center;A08.186.211.200.885.287.249.487.550.484
Putamen;A08.186.211.200.885.287.249.487.550.784
Ventral Striatum;A08.186.211.200.885.287.249.487.775
Nucleus Accumbens;A08.186.211.200.885.287.249.487.775.500
Olfactory Tubercle;A08.186.211.200.885.287.249.487.775.750
Islands of Calleja;A08.186.211.200.885.287.249.487.775.750.500
Substantia Innominata;A08.186.211.200.885.287.249.880
Basal Nucleus of Meynert;A08.186.211.200.885.287.249.880.100
Cerebral Cortex;A08.186.211.200.885.287.500
Frontal Lobe;A08.186.211.200.885.287.500.270
Motor Cortex;A08.186.211.200.885.287.500.270.548
Prefrontal Cortex;A08.186.211.200.885.287.500.270.700
Broca Area;A08.186.211.200.885.287.500.270.700.500
Hippocampus;A08.186.211.200.885.287.500.345
CA1 Region, Hippocampal;A08.186.211.200.885.287.500.345.099
CA2 Region, Hippocampal;A08.186.211.200.885.287.500.345.149
CA3 Region, Hippocampal;A08.186.211.200.885.287.500.345.174
Dentate Gyrus;A08.186.211.200.885.287.500.345.200
Mossy Fibers, Hippocampal;A08.186.211.200.885.287.500.345.200.500
Fornix, Brain;A08.186.211.200.885.287.500.345.600
Limbic Lobe;A08.186.211.200.885.287.500.382
Gyrus Cinguli;A08.186.211.200.885.287.500.382.500
Parahippocampal Gyrus;A08.186.211.200.885.287.500.382.750
Entorhinal Cortex;A08.186.211.200.885.287.500.382.750.225
Periamygdaloid Cortex;A08.186.211.200.885.287.500.382.750.612
Neocortex;A08.186.211.200.885.287.500.420
Occipital Lobe;A08.186.211.200.885.287.500.571
Visual Cortex;A08.186.211.200.885.287.500.571.735
Olfactory Cortex;A08.186.211.200.885.287.500.620
Basal Forebrain;A08.186.211.200.885.287.500.620.374
Organum Vasculosum;A08.186.211.200.885.287.500.620.374.500
Entorhinal Cortex;A08.186.211.200.885.287.500.620.562
Olfactory Tubercle;A08.186.211.200.885.287.500.620.656
Islands of Calleja;A08.186.211.200.885.287.500.620.656.500
Piriform Cortex;A08.186.211.200.885.287.500.620.750
Parietal Lobe;A08.186.211.200.885.287.500.670
Somatosensory Cortex;A08.186.211.200.885.287.500.670.675
Wernicke Area;A08.186.211.200.885.287.500.670.837
Sensorimotor Cortex;A08.186.211.200.885.287.500.814
Auditory Cortex;A08.186.211.200.885.287.500.814.249
Motor Cortex;A08.186.211.200.885.287.500.814.624
Olfactory Cortex;A08.186.211.200.885.287.500.814.695
Basal Forebrain;A08.186.211.200.885.287.500.814.695.249
Entorhinal Cortex;A08.186.211.200.885.287.500.814.695.374
Olfactory Tubercle;A08.186.211.200.885.287.500.814.695.500
Islands of Calleja;A08.186.211.200.885.287.500.814.695.500.500
Somatosensory Cortex;A08.186.211.200.885.287.500.814.906
Visual Cortex;A08.186.211.200.885.287.500.814.953
Temporal Lobe;A08.186.211.200.885.287.500.863
Auditory Cortex;A08.186.211.200.885.287.500.863.297
Perirhinal Cortex;A08.186.211.200.885.287.500.863.574
Wernicke Area;A08.186.211.200.885.287.500.863.850
Olfactory Cortex;A08.186.211.200.885.287.750
Basal Forebrain;A08.186.211.200.885.287.750.374
Entorhinal Cortex;A08.186.211.200.885.287.750.562
Olfactory Tubercle;A08.186.211.200.885.287.750.656
Islands of Calleja;A08.186.211.200.885.287.750.656.500
Piriform Cortex;A08.186.211.200.885.287.750.750
Diagonal Band of Broca;A08.186.211.200.885.380
External Capsule;A08.186.211.200.885.382
Internal Capsule;A08.186.211.200.885.385
Olfactory Bulb;A08.186.211.200.885.388
Septum of Brain;A08.186.211.200.885.750
Septal Nuclei;A08.186.211.200.885.750.800
Septum Pellucidum;A08.186.211.200.885.750.814
Telencephalic Commissures;A08.186.211.200.885.800
Anterior Commissure, Brain;A08.186.211.200.885.800.500
Corpus Callosum;A08.186.211.200.885.800.750
White Matter;A08.186.211.204
Meninges;A08.186.566
Arachnoid;A08.186.566.166
Subarachnoid Space;A08.186.566.166.686
Cisterna Magna;A08.186.566.166.686.351
Dura Mater;A08.186.566.395
Subdural Space;A08.186.566.395.687
Pia Mater;A08.186.566.731
Spinal Cord;A08.186.854
Cervical Cord;A08.186.854.126
Extrapyramidal Tracts;A08.186.854.253
Pyramidal Tracts;A08.186.854.300
Gray Matter;A08.186.854.348
Spinal Cord Lateral Horn;A08.186.854.443
Spinal Cord Dorsal Horn;A08.186.854.697
Posterior Horn Cells;A08.186.854.697.500
Substantia Gelatinosa;A08.186.854.697.500.500
Spinal Cord Ventral Horn;A08.186.854.729
Anterior Horn Cells;A08.186.854.729.500
Spinothalamic Tracts;A08.186.854.761
White Matter;A08.186.854.880
Ganglia;A08.340
Ganglia, Autonomic;A08.340.315
Ganglia, Parasympathetic;A08.340.315.300
Ganglia, Sympathetic;A08.340.315.350
Stellate Ganglion;A08.340.315.350.800
Superior Cervical Ganglion;A08.340.315.350.850
Ganglia, Invertebrate;A08.340.352
Ganglia, Sensory;A08.340.390
Ganglia, Spinal;A08.340.390.340
Geniculate Ganglion;A08.340.390.380
Nodose Ganglion;A08.340.390.550
Spiral Ganglion;A08.340.390.800
Trigeminal Ganglion;A08.340.390.850
Satellite Cells, Perineuronal;A08.340.685
Nerve Net;A08.511
Central Pattern Generators;A08.511.500
Neural Pathways;A08.612
Afferent Pathways;A08.612.220
Auditory Pathways;A08.612.220.110
Olfactory Pathways;A08.612.220.640
Spinocerebellar Tracts;A08.612.220.725
Spinothalamic Tracts;A08.612.220.735
Visceral Afferents;A08.612.220.830
Visual Pathways;A08.612.220.860
Efferent Pathways;A08.612.380
Extrapyramidal Tracts;A08.612.380.239
Pyramidal Tracts;A08.612.380.730
Internal Capsule;A08.612.435
Medial Forebrain Bundle;A08.612.492
Perforant Pathway;A08.612.600
Neuroglia;A08.637
Astrocytes;A08.637.200
Ependymoglial Cells;A08.637.300
Microglia;A08.637.400
Neuropil;A08.637.500
Neuropil Threads;A08.637.500.550
Oligodendrocyte Precursor Cells;A08.637.550
Oligodendroglia;A08.637.600
Myelin Sheath;A08.637.600.500
Satellite Cells, Perineuronal;A08.637.685
Schwann Cells;A08.637.800
Myelin Sheath;A08.637.800.500
Neurilemma;A08.637.800.500.550
Ranvier's Nodes;A08.637.800.500.700
Neurons;A08.675
Adrenergic Neurons;A08.675.100
Adrenergic Fibers;A08.675.100.500
Cholinergic Neurons;A08.675.127
Cholinergic Fibers;A08.675.127.500
Autonomic Fibers, Preganglionic;A08.675.127.500.060
Parasympathetic Fibers, Postganglionic;A08.675.127.500.700
Dendrites;A08.675.256
Dendritic Spines;A08.675.256.200
Neurites;A08.675.256.500
Dopaminergic Neurons;A08.675.278
GABAergic Neurons;A08.675.289
Grid Cells;A08.675.324
Interneurons;A08.675.358
Amacrine Cells;A08.675.358.050
Cerebellar Golgi Cells;A08.675.358.200
Commissural Interneurons;A08.675.358.350
Renshaw Cells;A08.675.358.650
Retinal Bipolar Cells;A08.675.358.700
Mirror Neurons;A08.675.500
Nerve Fibers;A08.675.542
Adrenergic Fibers;A08.675.542.075
Sympathetic Fibers, Postganglionic;A08.675.542.075.800
Autonomic Fibers, Postganglionic;A08.675.542.100
Parasympathetic Fibers, Postganglionic;A08.675.542.100.700
Sympathetic Fibers, Postganglionic;A08.675.542.100.800
Axons;A08.675.542.145
Axon Initial Segment;A08.675.542.145.250
Neurites;A08.675.542.145.500
Presynaptic Terminals;A08.675.542.145.750
Mossy Fibers, Hippocampal;A08.675.542.145.750.500
Cholinergic Fibers;A08.675.542.234
Autonomic Fibers, Preganglionic;A08.675.542.234.060
Parasympathetic Fibers, Postganglionic;A08.675.542.234.700
Nerve Fibers, Myelinated;A08.675.542.512
Myelin Sheath;A08.675.542.512.560
Neurilemma;A08.675.542.512.560.550
Ranvier's Nodes;A08.675.542.512.560.700
Nerve Fibers, Unmyelinated;A08.675.542.756
Neural Analyzers;A08.675.575
Neurofibrils;A08.675.609
Neurofibrillary Tangles;A08.675.609.520
Neurons, Afferent;A08.675.650
Hair Cells, Auditory;A08.675.650.250
Hair Cells, Auditory, Inner;A08.675.650.250.250
Hair Cells, Auditory, Outer;A08.675.650.250.315
Hair Cells, Vestibular;A08.675.650.395
Posterior Horn Cells;A08.675.650.675
Substantia Gelatinosa;A08.675.650.675.800
Retinal Neurons;A08.675.650.850
Amacrine Cells;A08.675.650.850.500
Photoreceptor Cells;A08.675.650.850.625
Photoreceptor Cells, Invertebrate;A08.675.650.850.625.660
Photoreceptor Cells, Vertebrate;A08.675.650.850.625.670
Photoreceptor Connecting Cilium;A08.675.650.850.625.670.049
Retinal Cone Photoreceptor Cells;A08.675.650.850.625.670.100
Retinal Photoreceptor Cell Inner Segment;A08.675.650.850.625.670.237
Retinal Photoreceptor Cell Outer Segment;A08.675.650.850.625.670.375
Rod Cell Outer Segment;A08.675.650.850.625.670.375.500
Retinal Rod Photoreceptor Cells;A08.675.650.850.625.670.650
Rod Cell Outer Segment;A08.675.650.850.625.670.650.650
Retinal Bipolar Cells;A08.675.650.850.750
Retinal Ganglion Cells;A08.675.650.850.875
Retinal Horizontal Cells;A08.675.650.850.937
Sensory Receptor Cells;A08.675.650.915
Chemoreceptor Cells;A08.675.650.915.500
Neuroepithelial Cells;A08.675.650.915.500.530
Neuroepithelial Bodies;A08.675.650.915.500.530.550
Olfactory Receptor Neurons;A08.675.650.915.500.540
Paraganglia, Nonchromaffin;A08.675.650.915.500.600
Aortic Bodies;A08.675.650.915.500.600.050
Carotid Body;A08.675.650.915.500.600.150
Glomus Jugulare;A08.675.650.915.500.600.350
Glomus Tympanicum;A08.675.650.915.500.600.360
Taste Buds;A08.675.650.915.500.800
Mechanoreceptors;A08.675.650.915.750
Golgi-Mazzoni Corpuscles;A08.675.650.915.750.300
Merkel Cells;A08.675.650.915.750.425
Muscle Spindles;A08.675.650.915.750.500
Neuroepithelial Cells;A08.675.650.915.750.600
Hair Cells, Auditory;A08.675.650.915.750.600.350
Hair Cells, Auditory, Inner;A08.675.650.915.750.600.350.350
Hair Cells, Auditory, Outer;A08.675.650.915.750.600.350.365
Hair Cells, Vestibular;A08.675.650.915.750.600.675
Pacinian Corpuscles;A08.675.650.915.750.700
Pressoreceptors;A08.675.650.915.750.750
Pulmonary Stretch Receptors;A08.675.650.915.750.780
Nociceptors;A08.675.650.915.875
Photoreceptor Cells;A08.675.650.915.937
Photoreceptor Cells, Invertebrate;A08.675.650.915.937.650
Photoreceptor Cells, Vertebrate;A08.675.650.915.937.670
Photoreceptor Connecting Cilium;A08.675.650.915.937.670.049
Retinal Cone Photoreceptor Cells;A08.675.650.915.937.670.100
Retinal Photoreceptor Cell Inner Segment;A08.675.650.915.937.670.237
Retinal Photoreceptor Cell Outer Segment;A08.675.650.915.937.670.375
Rod Cell Outer Segment;A08.675.650.915.937.670.375.500
Retinal Rod Photoreceptor Cells;A08.675.650.915.937.670.650
Rod Cell Outer Segment;A08.675.650.915.937.670.650.650
Thermoreceptors;A08.675.650.915.968
Neurons, Efferent;A08.675.655
Motor Neurons;A08.675.655.500
Anterior Horn Cells;A08.675.655.500.050
Motor Neurons, Gamma;A08.675.655.500.525
Neuropil;A08.675.703
Neuropil Threads;A08.675.703.550
Nissl Bodies;A08.675.712
Nitrergic Neurons;A08.675.748
Purkinje Cells;A08.675.784
Pyramidal Cells;A08.675.790
Place Cells;A08.675.790.500
Serotonergic Neurons;A08.675.895
Suprachiasmatic Nucleus Neurons;A08.675.947
Neurosecretory Systems;A08.713
Circumventricular Organs;A08.713.049
Area Postrema;A08.713.049.500
Median Eminence;A08.713.049.750
Pituitary Gland, Posterior;A08.713.049.875
Subcommissural Organ;A08.713.049.937
Subfornical Organ;A08.713.049.968
Corpora Allata;A08.713.100
Glomus Tympanicum;A08.713.228
Hypothalamo-Hypophyseal System;A08.713.357
Median Eminence;A08.713.357.500
Pituitary Gland;A08.713.357.750
Pituitary Gland, Anterior;A08.713.357.750.500
Corticotrophs;A08.713.357.750.500.500
Gonadotrophs;A08.713.357.750.500.750
Lactotrophs;A08.713.357.750.500.812
Somatotrophs;A08.713.357.750.500.937
Thyrotrophs;A08.713.357.750.500.968
Pituitary Gland, Intermediate;A08.713.357.750.750
Melanotrophs;A08.713.357.750.750.500
Pituitary Gland, Posterior;A08.713.357.750.875
Pineal Gland;A08.713.733
Peripheral Nervous System;A08.800
Autonomic Nervous System;A08.800.050
Autonomic Pathways;A08.800.050.050
Autonomic Fibers, Postganglionic;A08.800.050.050.050
Parasympathetic Fibers, Postganglionic;A08.800.050.050.050.700
Sympathetic Fibers, Postganglionic;A08.800.050.050.050.800
Autonomic Fibers, Preganglionic;A08.800.050.050.060
Celiac Plexus;A08.800.050.050.150
Facial Nerve;A08.800.050.050.275
Glossopharyngeal Nerve;A08.800.050.050.337
Hypogastric Plexus;A08.800.050.050.400
Myenteric Plexus;A08.800.050.050.500
Oculomotor Nerve;A08.800.050.050.650
Splanchnic Nerves;A08.800.050.050.800
Submucous Plexus;A08.800.050.050.850
Vagus Nerve;A08.800.050.050.925
Laryngeal Nerves;A08.800.050.050.925.450
Recurrent Laryngeal Nerve;A08.800.050.050.925.450.700
Nodose Ganglion;A08.800.050.050.925.550
Enteric Nervous System;A08.800.050.150
Myenteric Plexus;A08.800.050.150.500
Submucous Plexus;A08.800.050.150.750
Ganglia, Autonomic;A08.800.050.300
Ganglia, Parasympathetic;A08.800.050.300.250
Ganglia, Sympathetic;A08.800.050.300.300
Stellate Ganglion;A08.800.050.300.300.800
Superior Cervical Ganglion;A08.800.050.300.300.850
Parasympathetic Nervous System;A08.800.050.600
Facial Nerve;A08.800.050.600.149
Ganglia, Parasympathetic;A08.800.050.600.300
Glossopharyngeal Nerve;A08.800.050.600.387
Oculomotor Nerve;A08.800.050.600.475
Parasympathetic Fibers, Postganglionic;A08.800.050.600.650
Vagus Nerve;A08.800.050.600.825
Laryngeal Nerves;A08.800.050.600.825.450
Recurrent Laryngeal Nerve;A08.800.050.600.825.450.700
Nodose Ganglion;A08.800.050.600.825.550
Sympathetic Nervous System;A08.800.050.800
Ganglia, Sympathetic;A08.800.050.800.300
Stellate Ganglion;A08.800.050.800.300.800
